Date/Time,"Steam flow 
14/12/2025 16:00 ¹.,42,7.627,989.2,164.7,89.8,90.2,0,62,0
14/12/2025 17:00 ¹.,44,8.116,1034.3,167.2,91.5,94.6,0,63.2,0
14/12/2025 18:00 ¹.,45,8.071,1015.9,165.8,90.4,90.6,0,63.2,0
14/12/2025 19:00 ¹.,43,7.779,1001.9,167.4,91.5,90.5,0,64.6,0
14/12/2025 20:00 ¹.,43,8.123,1047.5,169.4,94,92,0,64.8,0
14/12/2025 21:00 ¹.,43,8.078,1041.8,169.5,92.8,92,0,64.6,0
14/12/2025 22:00 ¹.,42,7.603,990,168.5,91.9,90.6,0,64.8,0
14/12/2025 23:00 ¹.,42,7.586,1025.7,171.1,96.3,90.4,0,64.8,0
14/12/2025 0:00 ¹.,44,7.977,1033.9,167.3,94.1,90.5,0,64.8,0
15/12/2025 1:00 ¹.,45,7.987,999.8,163.4,91.8,89.2,0,65.6,0
15/12/2025 2:00 ¹.,44,7.823,1003.8,164.3,91.1,89.4,0,64.9,0
15/12/2025 3:00 ¹.,43,7.945,1072.8,164.7,92.3,88.5,0,65.2,0
15/12/2025 4:00 ¹.,42,7.523,998.1,164.3,90.1,90.5,0,63.2,0
15/12/2025 5:00 ¹.,43,7.786,1035,165.7,92,89.4,0,63,0
15/12/2025 6:00 ¹.,42,7.407,1018.1,166.4,93.3,87.9,0,63,0
15/12/2025 7:00 ¹.,41,7.332,1001,161.4,89.8,87.4,0,62.9,0
15/12/2025 8:00 ¹.,44,7.931,1013.3,161.5,89.1,89.9,0,63,0
15/12/2025 9:00 ¹.,35,6.114,902.1,164.3,90.7,90.6,0,61.3,0
15/12/2025 10:00 ¹.,18,2.644,785.7,154.4,75,38.5,0,44.1,0
15/12/2025 11:00 ¹.,11,1.605,828.2,132,66.4,4.8,0,40.8,0
15/12/2025 12:00 ¹.,33,5.801,911,158.2,86,85.6,0,54.7,0
15/12/2025 13:00 ¹.,42,7.514,986.8,168.7,89,90.2,0,61.4,0
15/12/2025 14:00 ¹.,43,7.792,997.4,173.3,93.7,92.3,0,64.8,0
15/12/2025 15:00 ¹.,25,0,919.4,163.7,0,78.8,0,52.3,0
15/12/2025 16:00 ¹.,-1,0,752.8,116,0,41.8,0,17.3,0
15/12/2025 17:00 ¹.,6,-0.746,745.6,99.6,0,16.7,0,1.7,0
15/12/2025 18:00 ¹.,18,-0.765,658.9,88.7,0,20.6,0,1.1,0
15/12/2025 19:00 ¹.,23,-0.765,599.3,79.8,0,1.2,0,1.1,0
15/12/2025 20:00 ¹.,26,-0.763,561.4,75.6,0,1.2,0,1.1,0
15/12/2025 21:00 ¹.,27,-0.776,529.4,72.6,0,1.3,0,1.1,0
15/12/2025 22:00 ¹.,28,-0.759,502.5,67.1,0,1.2,0,1,0
15/12/2025 23:00 ¹.,29,-0.752,489.3,64.2,0,1.2,0,1,0
15/12/2025 0:00 ¹.,30,-0.746,479.4,64.1,0,1.2,0,1,0
16/12/2025 1:00 ¹.,30,-0.743,471.3,65.2,0,1.2,0,1,0
16/12/2025 2:00 ¹.,30,-0.747,464.3,66.5,0,1.2,0,1,0
16/12/2025 3:00 ¹.,31,-0.748,454.4,69.3,0,1.2,0,1,0
16/12/2025 4:00 ¹.,31,-0.768,379.5,120.7,36.8,1.2,0,1,0
16/12/2025 5:00 ¹.,6,-0.818,368.7,138.7,62.8,23.4,0,21.3,0
16/12/2025 6:00 ¹.,-1,0,545.6,164.2,78.8,47.3,0,37.1,0
16/12/2025 7:00 ¹.,-1,0,612,180.5,98.3,79.4,0,44.3,0
16/12/2025 8:00 ¹.,21,3.857,738.8,169.9,99.7,89.6,0,48.1,0
16/12/2025 9:00 ¹.,37,6.543,897.6,169.6,91.5,90.2,0,54.7,0
16/12/2025 10:00 ¹.,37,6.469,904.7,173.9,86.4,90.3,0,59.7,0
16/12/2025 11:00 ¹.,40,6.953,938.8,178.1,88.8,90.3,0,62,0
16/12/2025 12:00 ¹.,40,7.013,935.1,178.7,88.9,90.4,0,62.4,0
16/12/2025 13:00 ¹.,38,6.63,934.3,180.3,90.7,90.8,0,62.2,0
16/12/2025 14:00 ¹.,36,6.231,914,180.3,92.7,90.9,0,62.4,0
16/12/2025 15:00 ¹.,40,7.221,949.4,171.2,90.9,90.2,0,62.6,0
16/12/2025 16:00 ¹.,42,7.497,969.1,170.9,87.4,90.2,0,63.2,0
16/12/2025 17:00 ¹.,44,8.011,1000.6,174.5,93.3,93.5,0,63.2,0
16/12/2025 18:00 ¹.,43,7.503,968.1,174.5,89.2,91.7,0,63.1,0
16/12/2025 19:00 ¹.,44,7.816,981.4,174.4,90.4,91.7,0,63.6,0
16/12/2025 20:00 ¹.,43,7.808,1002.9,174,89.9,88.3,0,64.4,0
16/12/2025 21:00 ¹.,43,7.965,1008.6,176.9,95.4,91.6,0,65.6,0
16/12/2025 22:00 ¹.,44,8.14,1036.1,177.4,98,95.1,0,65.6,0
16/12/2025 23:00 ¹.,44,7.979,983.2,170.3,91.9,91.3,0,64.8,0
16/12/2025 0:00 ¹.,42,7.407,958.9,169.3,90.6,84.4,0,65.2,0
17/12/2025 1:00 ¹.,41,7.129,954.3,169.2,89.2,90.1,0,63.4,0
17/12/2025 2:00 ¹.,42,7.374,948.4,170.7,90.6,90.2,0,65.4,0
17/12/2025 3:00 ¹.,44,7.843,970.8,173.6,93.4,90.5,0,67.8,0
17/12/2025 4:00 ¹.,42,7.303,954.7,172.8,92.4,90.3,0,67.3,0
17/12/2025 5:00 ¹.,42,7.602,992.6,172.9,92.1,87.5,0,67.9,0
17/12/2025 6:00 ¹.,42,7.801,1044.4,173.1,93.5,85.8,0,67.9,0
17/12/2025 7:00 ¹.,43,8.038,1065.1,176.2,94.7,90.2,0,67.9,0
17/12/2025 8:00 ¹.,42,7.644,995.8,175.4,92.4,91.5,0,65.9,0
17/12/2025 9:00 ¹.,42,7.365,973.9,174.8,89.4,90.7,0,61.6,0
17/12/2025 10:00 ¹.,44,7.677,995.6,176,89.3,93.1,0,61.3,0
17/12/2025 11:00 ¹.,41,7.056,966.4,176.5,89,92.2,0,61.3,0
17/12/2025 12:00 ¹.,42,7.478,988.2,176.8,88.4,90.3,0,61.3,0
17/12/2025 13:00 ¹.,39,6.801,954.2,176.7,87.9,91,0,60.3,0
17/12/2025 14:00 ¹.,44,8.091,1047.5,180.4,93,95.2,0,59.2,0
17/12/2025 15:00 ¹.,44,7.788,1038.5,179.8,93.6,94.4,0,59.3,0
17/12/2025 16:00 ¹.,43,7.665,986.9,171.9,87.9,94.6,0,60.6,0
17/12/2025 17:00 ¹.,44,7.947,1014.9,172.1,89.5,93.6,0,61.3,0
17/12/2025 18:00 ¹.,43,7.762,1002.9,172.1,88,93,0,62.5,0
17/12/2025 19:00 ¹.,44,7.948,1018.1,172.4,89.6,92.1,0,63.8,0
17/12/2025 20:00 ¹.,43,8.121,1033.8,173.8,89.7,93.3,0,62,0
17/12/2025 21:00 ¹.,42,7.704,994,174.6,89.6,94.2,0,62,0
17/12/2025 22:00 ¹.,39,6.9,942.7,172.8,88.1,90.7,0,62.8,0
17/12/2025 23:00 ¹.,39,6.936,965.6,173.1,89.1,90.5,0,63.2,0
17/12/2025 0:00 ¹.,43,7.958,1029.7,175.2,91.5,94.2,0,62,0
18/12/2025 1:00 ¹.,42,7.698,995.7,175,89.7,93.4,0,61.5,0
18/12/2025 2:00 ¹.,43,7.97,1038.2,176.3,91.5,94.3,0,61.3,0
18/12/2025 3:00 ¹.,43,8.132,1088.1,178.7,93.5,95,0,61.3,0
18/12/2025 4:00 ¹.,43,7.909,1020.6,175.5,90.1,94.9,0,61.3,0
18/12/2025 5:00 ¹.,43,7.737,1013.2,174.9,89.7,92.3,0,61,0
18/12/2025 6:00 ¹.,44,8.048,1061.9,177.5,94.6,92.1,0,60.3,0
18/12/2025 7:00 ¹.,43,7.754,1021.2,169.5,89.5,90.1,0,62.7,0
18/12/2025 8:00 ¹.,37,6.572,917.6,165.8,88.6,87.5,0,64.4,0
18/12/2025 9:00 ¹.,37,6.477,911.1,167.2,88.1,88.6,0,65.5,0
18/12/2025 10:00 ¹.,46,8.128,995.9,171.4,91.3,95.2,0,65.8,0
18/12/2025 11:00 ¹.,44,8.123,1055.6,174.9,95,95.2,0,65.6,0
18/12/2025 12:00 ¹.,45,7.992,1008.3,176.6,95.1,94.7,0,62.5,0
18/12/2025 13:00 ¹.,44,7.792,994.1,169.7,89.5,92.4,0,65.1,0
18/12/2025 14:00 ¹.,43,7.578,972.2,170.6,89.8,92.4,0,65.6,0
18/12/2025 15:00 ¹.,44,7.698,986,171.3,89.9,90,0,65.2,0
18/12/2025 16:00 ¹.,44,8.054,1005.1,174.8,92.9,94.5,0,65.3,0
18/12/2025 17:00 ¹.,34,6.043,907.1,174,90.1,92,0,62,0
18/12/2025 18:00 ¹.,34,6.09,920.3,175.1,89.8,90.5,0,60.2,0
18/12/2025 19:00 ¹.,43,7.903,1021.3,174.1,89.6,92.9,0,62.2,0
18/12/2025 20:00 ¹.,43,7.894,1022.1,175.8,92,93.9,0,63.4,0
18/12/2025 21:00 ¹.,41,7.367,977.5,172.6,90,91.7,0,63.4,0
18/12/2025 22:00 ¹.,42,7.583,980.9,171.7,89.1,92.4,0,63.2,0
18/12/2025 23:00 ¹.,43,7.926,998,174.3,93.2,91.8,0,64,0
18/12/2025 0:00 ¹.,44,7.999,1005,176.9,95.6,92.2,0,64.9,0
19/12/2025 1:00 ¹.,44,8.151,1020.8,175.7,92.5,95.1,0,63.2,0
19/12/2025 2:00 ¹.,44,7.941,998.1,174.3,90.5,92.4,0,63.2,0
19/12/2025 3:00 ¹.,43,7.898,1025.1,175,93.1,90.5,0,65.4,0
19/12/2025 4:00 ¹.,44,8.133,1051.1,177.7,96.7,93.4,0,65.8,0
19/12/2025 5:00 ¹.,43,7.591,1008.8,180.6,98.5,91.8,0,64.9,0
19/12/2025 6:00 ¹.,44,8.147,1054.8,171.9,95.6,90.4,0,64.9,0
19/12/2025 7:00 ¹.,43,8.179,1064.2,170.7,94.7,91.3,0,64,0
19/12/2025 8:00 ¹.,43,8.137,1062.1,175.3,95.6,91.4,0,63.7,0
19/12/2025 9:00 ¹.,44,8.151,1028.1,175.5,93.7,92.9,0,62.8,0
19/12/2025 10:00 ¹.,43,8.126,1033.9,173.9,90.8,92.6,0,62.9,0
19/12/2025 11:00 ¹.,44,8.097,1037.2,173.8,91.6,91.4,0,64.5,0
19/12/2025 12:00 ¹.,44,8.029,1041.7,177.2,94.7,93.1,0,63.9,0
19/12/2025 13:00 ¹.,45,8.174,1035,177,92,95.3,0,63.8,0
19/12/2025 14:00 ¹.,43,7.909,1034.4,175.1,91.2,94.4,0,63.9,0
19/12/2025 15:00 ¹.,43,7.754,1015,176.8,91.4,92.6,0,63.7,0
19/12/2025 16:00 ¹.,44,8.143,1053.7,178.3,92.4,95.1,0,63.2,0
19/12/2025 17:00 ¹.,42,7.662,1011.2,177.7,90.9,91.1,0,63.7,0
19/12/2025 18:00 ¹.,42,7.581,1012.7,179.2,92.6,90.5,0,62.3,0
19/12/2025 19:00 ¹.,42,7.582,995.9,180.7,93.8,90.5,0,61.9,0
19/12/2025 20:00 ¹.,45,8.09,1033.6,177.6,94.2,90.6,0,63.9,0
19/12/2025 21:00 ¹.,41,7.23,1009.8,178.5,95.1,88.9,0,65.6,0
19/12/2025 22:00 ¹.,41,7.331,986.5,172,93.2,84.4,0,67.9,0
19/12/2025 23:00 ¹.,42,7.791,1013.2,170.3,90.4,86.2,0,65.8,0
19/12/2025 0:00 ¹.,43,7.848,1030.8,170.4,92.2,87.3,0,68.6,0
20/12/2025 1:00 ¹.,43,7.895,1041.6,172.2,92,89.3,0,68.4,0
20/12/2025 2:00 ¹.,43,8.01,1033.8,171.8,92.5,89.4,0,69.1,0
20/12/2025 3:00 ¹.,41,7.326,1002.2,171.7,90.9,87,0,67.1,0
20/12/2025 4:00 ¹.,42,7.458,995,171.6,89.8,86.6,0,65,0
20/12/2025 5:00 ¹.,43,7.863,1056.4,174.5,90.7,90,0,60.6,0
20/12/2025 6:00 ¹.,42,7.582,1039.6,172.7,91.9,90.9,0,61.9,0
20/12/2025 7:00 ¹.,43,7.907,1027.5,167.3,88.9,90.7,0,62.9,0
20/12/2025 8:00 ¹.,42,7.619,998.4,167.4,85.6,91.4,0,61.7,0
20/12/2025 9:00 ¹.,44,7.865,1018.8,169.7,87.6,91.4,0,61.3,0
20/12/2025 10:00 ¹.,42,7.887,1037.6,172.3,88,91.4,0,62.5,0
20/12/2025 11:00 ¹.,44,7.901,1033.2,172.8,87.4,89.1,0,62.5,0
20/12/2025 12:00 ¹.,42,7.438,1001.1,173.3,86.5,88.8,0,63.6,0
20/12/2025 13:00 ¹.,42,7.67,1074.7,176,91.6,88.7,0,60.5,0
20/12/2025 14:00 ¹.,44,7.906,1052.4,177,91,87.8,0,60.2,0
20/12/2025 15:00 ¹.,43,8.059,1076.2,173.3,86.2,90.1,0,59.2,0
20/12/2025 16:00 ¹.,37,6.727,990.1,172.8,85.7,86.2,0,58.9,0
20/12/2025 17:00 ¹.,15,2.561,834.3,162.9,72.8,40.8,0,43.5,0
20/12/2025 18:00 ¹.,30,5.218,930.9,162.7,81.7,72.3,0,52.2,0
20/12/2025 19:00 ¹.,43,7.819,1036.8,177.2,88.9,93.6,0,61,0
20/12/2025 20:00 ¹.,41,7.318,987.9,176.4,86.8,91.5,0,61,0
20/12/2025 21:00 ¹.,43,7.971,1055.1,178.7,91,92.1,0,62.7,0
20/12/2025 22:00 ¹.,43,7.958,1038.7,179.2,90.4,94.3,0,62.3,0
20/12/2025 23:00 ¹.,43,8.048,1135.2,181.3,94.8,94.8,0,62.9,0
20/12/2025 0:00 ¹.,43,7.774,1052.8,176.2,93.1,93.9,0,63.2,0
21/12/2025 1:00 ¹.,42,7.655,994.4,170.8,88.7,95,0,62.8,0
21/12/2025 2:00 ¹.,41,7.397,974.1,173.1,89,95.4,0,61.7,0
21/12/2025 3:00 ¹.,43,7.881,1038.6,177.5,94,95.3,0,61.3,0
21/12/2025 4:00 ¹.,44,7.939,1028.7,176.1,89.5,95.4,0,61.3,0
21/12/2025 5:00 ¹.,41,7.424,1008.3,176.7,91.5,95.5,0,61.3,0
21/12/2025 6:00 ¹.,41,7.287,1014.3,176,91.4,92.3,0,61.3,0
21/12/2025 7:00 ¹.,43,8.052,1081.9,172.3,92.2,94.2,0,61.3,0
21/12/2025 8:00 ¹.,44,8.128,1027,174,90.2,94.1,0,61.4,0
21/12/2025 9:00 ¹.,44,8.142,1032.2,174.3,89.6,95.4,0,63.1,0
21/12/2025 10:00 ¹.,45,8.092,1018.7,175,88.5,93.7,0,62.9,0
21/12/2025 11:00 ¹.,44,7.894,1014,175.7,90.7,92.3,0,63.8,0
21/12/2025 12:00 ¹.,44,8.058,1043.9,177.2,92.2,89.7,0,64.8,0
21/12/2025 13:00 ¹.,42,7.401,1025.3,178.9,92.8,90.6,0,65.1,0
21/12/2025 14:00 ¹.,42,7.63,1018.4,175.9,91.3,90.8,0,64.5,0
21/12/2025 15:00 ¹.,43,8.121,1068.7,177.9,94.5,91.7,0,65.1,0
21/12/2025 16:00 ¹.,43,8.096,1053.6,176.8,92.3,93.4,0,64.5,0
21/12/2025 17:00 ¹.,43,7.953,1028.9,177.7,92,93.7,0,64,0
21/12/2025 18:00 ¹.,44,8,1034.6,177.2,90.8,90.5,0,64,0
21/12/2025 19:00 ¹.,43,7.8,1018.2,177.1,90.3,90.5,0,64,0
21/12/2025 20:00 ¹.,43,7.767,1029.1,176.7,89.7,90.5,0,64,0
21/12/2025 21:00 ¹.,41,7.288,982.2,177.2,89.8,90.6,0,64,0
21/12/2025 22:00 ¹.,39,6.887,956.6,177.5,90.8,90.6,0,64,0
21/12/2025 23:00 ¹.,40,7.305,1057.4,179.9,94.7,90.9,0,64,0
21/12/2025 0:00 ¹.,42,7.61,1027.8,176.3,93.3,91.9,0,62.9,0
22/12/2025 1:00 ¹.,41,7.299,983.1,170.6,86.5,90.4,0,60.4,0
22/12/2025 2:00 ¹.,43,7.911,1040.7,174,89.6,93.2,0,61.3,0
22/12/2025 3:00 ¹.,43,7.525,999.9,173.1,87.1,91.5,0,60.1,0
22/12/2025 4:00 ¹.,39,6.803,950.6,172.9,87.7,90.4,0,61.7,0
22/12/2025 5:00 ¹.,42,7.488,1030.4,175.7,92.3,91.2,0,61.3,0
22/12/2025 6:00 ¹.,44,7.93,1061.4,175.9,95.2,92.9,0,61.3,0
22/12/2025 7:00 ¹.,43,8.139,1068.4,173.4,92.6,95.2,0,61.3,0
22/12/2025 8:00 ¹.,44,8.024,1031.6,172.3,89.4,92.5,0,62.1,0
22/12/2025 9:00 ¹.,44,8.006,1020,174.9,89.5,95.1,0,61.3,0
22/12/2025 10:00 ¹.,41,7.151,976.1,175.4,88.2,95.5,0,61.3,0
22/12/2025 11:00 ¹.,42,7.534,1000.8,180.7,92.4,95.6,0,61.3,0
22/12/2025 12:00 ¹.,44,8.012,1048,181.7,92.1,95.5,0,61.3,0
22/12/2025 13:00 ¹.,41,7.414,1011.5,180.4,89.6,95.5,0,61.3,0
22/12/2025 14:00 ¹.,37,6.469,941.4,178.3,85.9,95.5,0,58.6,0
22/12/2025 15:00 ¹.,41,7.172,1013.1,183.7,94.4,95.5,0,58.6,0
22/12/2025 16:00 ¹.,43,7.879,1059.3,180.5,92.9,95.5,0,59.2,0
22/12/2025 17:00 ¹.,44,7.958,1029.9,175.7,88.8,95,0,59.6,0
22/12/2025 18:00 ¹.,45,8.127,1052.7,177.3,90.6,94,0,59.7,0
22/12/2025 19:00 ¹.,43,7.563,1005.6,176.6,86.9,95.3,0,59.7,0
22/12/2025 20:00 ¹.,43,7.755,1029.9,177.2,88.9,92.2,0,61.3,0
22/12/2025 21:00 ¹.,42,7.598,1026.4,177,90.3,93.3,0,61.3,0
22/12/2025 22:00 ¹.,43,7.7,1019.6,177.7,89.1,91.2,0,61.3,0
22/12/2025 23:00 ¹.,37,6.442,973.4,177.6,89.8,90.6,0,62.2,0
22/12/2025 0:00 ¹.,41,7.167,1003.1,175.7,90.8,90.8,0,60.3,0
23/12/2025 1:00 ¹.,42,7.521,1009.6,174.1,87.7,91.1,0,60.7,0
23/12/2025 2:00 ¹.,41,7.269,983.3,174.2,87.4,90.4,0,61.3,0
23/12/2025 3:00 ¹.,39,6.777,963.5,174,86,90.5,0,60.4,0
23/12/2025 4:00 ¹.,40,7.089,987.6,175.4,89.8,90.5,0,62.3,0
23/12/2025 5:00 ¹.,43,7.691,1044,179,95.2,91.8,0,62.3,0
23/12/2025 6:00 ¹.,44,8.173,1063.6,177.6,94.8,95.3,0,62.3,0
23/12/2025 7:00 ¹.,43,8.148,1039.9,176,91.8,94.5,0,62.3,0
23/12/2025 8:00 ¹.,44,8.127,1045.3,176.5,91.7,94.6,0,62.3,0
23/12/2025 9:00 ¹.,42,7.561,1040.4,175.6,88.7,90.7,0,62.2,0
23/12/2025 10:00 ¹.,40,7.335,1016.4,176.4,88.3,90.5,0,61.5,0
23/12/2025 11:00 ¹.,36,6.305,937.3,180.7,92.5,90.5,0,61,0
23/12/2025 12:00 ¹.,38,6.764,1005.7,179.6,89.8,90.7,0,60.3,0
23/12/2025 13:00 ¹.,43,7.757,1061.4,182.7,94.4,93.5,0,62.1,0
23/12/2025 14:00 ¹.,43,7.87,1054.6,180.6,94.6,91.6,0,62.7,0
23/12/2025 15:00 ¹.,42,7.583,1013.5,175.1,90.2,90.5,0,63,0
23/12/2025 16:00 ¹.,42,7.66,1041.8,175.8,90.1,91.7,0,61.3,0
23/12/2025 17:00 ¹.,42,7.741,1020.3,178.2,89.9,94.9,0,61.3,0
23/12/2025 18:00 ¹.,42,7.483,1008.2,178.1,90.4,92.4,0,61.5,0
23/12/2025 19:00 ¹.,43,7.69,1017.9,178.1,88.8,92.4,0,60.8,0
23/12/2025 20:00 ¹.,42,7.475,1022.8,179.1,89.5,94.5,0,62.4,0
23/12/2025 21:00 ¹.,40,6.968,958.7,178.5,87.7,91.9,0,63.5,0
23/12/2025 22:00 ¹.,41,7.272,981.9,178.9,89.5,90.9,0,65.8,0
23/12/2025 23:00 ¹.,42,7.484,1042.4,182.3,95.1,94.1,0,65.8,0
23/12/2025 0:00 ¹.,38,6.684,973.9,178.6,93.1,91.1,0,65.4,0
24/12/2025 1:00 ¹.,38,6.692,949.2,172.4,88.6,90.7,0,64.4,0
24/12/2025 2:00 ¹.,44,7.945,1020.3,175.8,91,93.8,0,64.9,0
24/12/2025 3:00 ¹.,43,7.853,1027.8,177.8,91.4,94.1,0,64.9,0
24/12/2025 4:00 ¹.,42,7.587,1047.2,179.6,94.6,92.9,0,64.1,0
24/12/2025 5:00 ¹.,40,7.027,976.8,172.4,89.3,90.5,0,63.9,0
24/12/2025 6:00 ¹.,36,6.386,943.5,170.1,86.1,90.5,0,62.4,0
24/12/2025 7:00 ¹.,41,7.506,1006.4,173.4,87.6,93.1,0,63.2,0
24/12/2025 8:00 ¹.,45,8.19,1053.4,179,92.3,92,0,64,0
24/12/2025 9:00 ¹.,45,8.281,1106.4,181,92.4,93.2,0,64.1,0
24/12/2025 10:00 ¹.,44,8.239,1139,181.9,94,95.5,0,64.2,0
24/12/2025 11:00 ¹.,44,8.228,1122.8,182.1,91.7,93.7,0,64.1,0
24/12/2025 12:00 ¹.,44,8.034,1077.4,181.5,91,93.3,0,64,0
24/12/2025 13:00 ¹.,44,7.994,1057.7,181,88.2,91.8,0,63.5,0
24/12/2025 14:00 ¹.,44,8.02,1112.7,184.6,95,93.3,0,64.2,0
24/12/2025 15:00 ¹.,43,7.963,1091.7,182.4,93,95.4,0,64.1,0
24/12/2025 16:00 ¹.,41,7.208,992.8,178.3,90.1,95.4,0,64.1,0
24/12/2025 17:00 ¹.,44,8.127,1094.6,179.6,91.8,95.4,0,63.6,0
24/12/2025 18:00 ¹.,42,7.455,1001.8,178.3,88.7,95.4,0,63.1,0
24/12/2025 19:00 ¹.,44,7.704,1030.8,178.5,88.7,94.5,0,63.1,0
24/12/2025 20:00 ¹.,44,7.869,1044.8,181.2,92.1,95.4,0,63.2,0
24/12/2025 21:00 ¹.,43,7.766,1092,181.3,94.5,93.1,0,63.2,0
24/12/2025 22:00 ¹.,43,7.98,1063.4,177.2,91,94.4,0,63.1,0
24/12/2025 23:00 ¹.,43,8.02,1060.8,175.9,91.5,94.6,0,63.2,0
24/12/2025 0:00 ¹.,42,7.469,1033.8,175.3,88.9,91.3,0,58.7,0
25/12/2025 1:00 ¹.,43,7.973,1049.7,180.5,90.4,95.6,0,62.3,0
25/12/2025 2:00 ¹.,44,7.999,1076.2,182.6,90.8,93.1,0,62.7,0
25/12/2025 3:00 ¹.,45,8.054,1087.8,181,93.6,91.7,0,65.9,0
25/12/2025 4:00 ¹.,44,7.881,1073.3,179.7,94.5,90.5,0,66.4,0
25/12/2025 5:00 ¹.,44,8.184,1079.6,175.5,90.3,93.5,0,63.9,0
25/12/2025 6:00 ¹.,43,7.87,1047.7,175.4,89.8,93.3,0,64.5,0
25/12/2025 7:00 ¹.,42,7.607,1024.6,175.3,88.3,90.8,0,62.9,0
25/12/2025 8:00 ¹.,44,8.052,1067.4,177.1,89.9,92.7,0,63,0
25/12/2025 9:00 ¹.,44,8.234,1121,181.9,93.3,95.3,0,62.2,0
25/12/2025 10:00 ¹.,42,7.51,1037.3,178.5,87.7,91.5,0,61.6,0
25/12/2025 11:00 ¹.,37,6.255,995.1,180.5,93.3,88.9,0,61.5,0
25/12/2025 12:00 ¹.,44,7.761,1054.2,183.2,92.8,93.9,0,63.1,0
25/12/2025 13:00 ¹.,43,7.495,1033.3,181.1,91.7,90.4,0,65.7,0
25/12/2025 14:00 ¹.,45,8.107,1109.7,185.2,97.6,95.1,0,64.3,0
25/12/2025 15:00 ¹.,44,7.775,1054.1,179.9,94.5,93.4,0,66,0
25/12/2025 16:00 ¹.,42,7.356,1010.9,175,89.8,90.7,0,65.1,0
25/12/2025 17:00 ¹.,43,7.762,1039.8,177.2,90,93.6,0,63.5,0
25/12/2025 18:00 ¹.,42,7.709,1044,177.1,89.3,91.5,0,64.5,0
